Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts
23:57:56,100.0,0.0,0.0,0.0,0.0,49,144,48148,244.31,
23:57:56,99.4,0.0,0.6,0.0,0.0,49,200,48112,244.91,
23:57:57,98.4,0.0,1.6,0.0,0.0,49,220,48112,243.91,
23:57:57,100.0,0.0,0.0,0.0,0.0,49,78,48012,243.46,
23:57:58,100.0,0.0,0.0,0.0,0.0,49,106,48046,243.73,
23:57:58,100.0,0.0,0.0,0.0,0.0,49,106,48064,243.56,
23:57:59,97.1,0.0,2.9,0.0,0.0,49,122,48016,243.99,
23:57:59,100.0,0.0,0.0,0.0,0.0,49,122,48068,242.50,
23:58:00,100.0,0.0,0.0,0.0,0.0,49,138,48050,242.41,
23:58:00,100.0,0.0,0.0,0.0,0.0,49,186,48066,242.36,
23:58:01,99.0,0.0,1.0,0.0,0.0,49,256,48528,242.02,
23:58:01,99.2,0.0,0.8,0.0,0.0,49,80,48480,244.00,
23:58:02,100.0,0.0,0.0,0.0,0.0,49,158,48110,244.46,
23:58:02,100.0,0.0,0.0,0.0,0.0,49,76,48468,244.45,
23:58:03,100.0,0.0,0.0,0.0,0.0,49,138,48014,244.17,
23:58:03,97.9,0.0,2.1,0.0,0.0,49,112,48120,244.99,
23:58:04,100.0,0.0,0.0,0.0,0.0,49,304,48198,246.00,
23:58:04,100.0,0.0,0.0,0.0,0.0,49,202,48118,245.64,
23:58:05,99.9,0.0,0.1,0.0,0.0,49,294,48064,245.92,
23:58:05,98.7,0.0,1.3,0.0,0.0,49,90,48014,245.30,
23:58:06,99.6,0.0,0.4,0.0,0.0,50,166,48104,246.63,
23:58:06,100.0,0.0,0.0,0.0,0.0,49,86,48014,246.32,
23:58:07,100.0,0.0,0.0,0.0,0.0,49,134,48064,246.33,
23:58:07,99.8,0.0,0.2,0.0,0.0,49,124,48072,246.14,
23:58:08,98.5,0.0,1.5,0.0,0.0,49,140,48558,245.63,
23:58:08,100.0,0.0,0.0,0.0,0.0,50,234,48032,246.41,
23:58:09,100.0,0.0,0.0,0.0,0.0,49,226,48104,246.11,
23:58:09,100.0,0.0,0.0,0.0,0.0,49,106,48068,246.36,
23:58:10,98.3,0.0,1.7,0.0,0.0,49,138,48056,245.27,
23:58:10,100.0,0.0,0.0,0.0,0.0,49,74,48014,246.19,
23:58:11,100.0,0.0,0.0,0.0,0.0,49,162,48072,246.27,
23:58:11,100.0,0.0,0.0,0.0,0.0,49,82,48012,246.36,
23:58:12,99.5,0.0,0.5,0.0,0.0,49,182,48100,245.72,
23:58:12,98.4,0.0,1.6,0.0,0.0,49,154,48014,245.54,
23:58:13,100.0,0.0,0.0,0.0,0.0,49,214,48020,246.30,
23:58:13,100.0,0.0,0.0,0.0,0.0,49,106,48060,246.10,
23:58:14,100.0,0.0,0.0,0.0,0.0,49,302,48130,246.34,
