Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts
02:31:20,49.4,0.0,0.7,50.0,0.0,26,118,25152,248.99,
02:31:21,49.4,0.0,0.7,49.9,0.0,25,152,25112,249.41,
02:31:21,49.5,0.0,0.6,50.0,0.0,25,230,25204,249.01,
02:31:22,49.4,0.0,0.7,49.9,0.0,25,1188,25176,249.44,
02:31:22,49.4,0.0,0.7,49.9,0.0,25,220,25028,249.57,
02:31:23,49.4,0.0,0.6,50.0,0.0,25,90,25150,248.99,
02:31:23,49.5,0.0,0.6,50.0,0.0,25,114,25064,248.99,
02:31:24,49.5,0.0,0.5,50.0,0.0,25,94,25112,249.40,
02:31:24,49.5,0.0,0.5,50.0,0.0,25,118,25106,249.24,
02:31:25,49.4,0.0,0.6,50.0,0.0,25,142,24958,248.78,
02:31:25,49.3,0.0,0.7,50.0,0.0,26,246,25200,248.96,
02:31:26,49.4,0.0,0.7,49.9,0.0,25,92,25108,248.88,
02:31:26,49.5,0.0,0.5,50.0,0.0,25,122,25108,249.60,
02:31:27,49.5,0.0,0.6,49.9,0.0,25,100,25178,248.96,
02:31:27,49.4,0.0,0.6,50.0,0.0,26,98,25108,248.88,
02:31:28,49.5,0.0,0.6,49.9,0.0,25,138,25168,249.50,
02:31:28,49.4,0.0,0.6,50.0,0.0,25,128,25152,249.35,
02:31:29,49.4,0.0,0.7,49.9,0.0,25,162,25196,248.66,
02:31:29,49.4,0.0,0.7,50.0,0.0,26,246,25210,249.03,
02:31:30,49.2,0.0,0.9,50.0,0.0,25,112,25154,249.16,
02:31:30,49.4,0.0,0.6,50.0,0.0,25,122,25094,249.31,
02:31:31,49.3,0.0,0.8,49.9,0.0,25,102,25166,249.19,
02:31:31,49.3,0.0,0.8,50.0,0.0,26,120,25114,248.94,
02:31:32,49.7,0.0,0.6,49.7,0.0,25,1296,25604,249.46,
02:31:32,49.3,0.0,0.7,50.0,0.0,25,150,25108,249.09,
02:31:33,49.0,0.0,1.0,49.9,0.0,25,146,25156,248.81,
02:31:33,49.2,0.0,0.9,50.0,0.0,26,254,25216,249.37,
02:31:34,49.5,0.0,0.6,50.0,0.0,25,100,25112,248.93,
02:31:34,49.4,0.0,0.6,50.0,0.0,25,134,25110,249.29,
02:31:35,49.5,0.0,0.5,49.9,0.0,25,104,25178,249.30,
02:31:35,49.5,0.0,0.5,50.0,0.0,26,102,25104,249.19,
02:31:36,49.5,0.0,0.5,50.0,0.0,25,100,25122,249.31,
02:31:36,49.3,0.0,0.7,50.0,0.0,25,122,25098,249.30,
02:31:37,49.3,0.0,0.8,49.9,0.0,25,160,25172,249.01,
02:31:37,49.2,0.0,0.8,50.0,0.0,26,234,25204,249.56,
02:31:38,49.4,0.0,0.7,49.9,0.0,25,136,25146,249.06,
02:31:38,49.4,0.0,0.6,50.0,0.0,25,130,25160,249.13,
02:31:39,49.0,0.0,1.0,49.9,0.0,25,100,25166,249.18,
02:31:39,49.5,0.0,0.5,49.9,0.0,26,138,25134,249.32,
02:31:40,49.5,0.0,0.5,50.0,0.0,25,96,25112,249.08,
02:31:40,49.3,0.0,0.7,50.0,0.0,25,158,25170,249.23,
02:31:41,49.4,0.0,0.7,49.9,0.0,25,150,25180,249.09,
02:31:41,49.5,0.0,0.5,50.0,0.0,26,252,25220,249.27,
02:31:42,49.5,0.0,0.6,49.9,0.0,25,1126,25182,249.19,
02:31:42,49.4,0.0,0.6,50.0,0.0,25,158,24976,249.11,
02:31:43,49.1,0.0,1.0,49.9,0.0,25,94,24988,249.45,
02:31:43,49.5,0.0,0.5,50.0,0.0,26,110,24990,249.02,
02:31:44,49.4,0.0,0.7,50.0,0.0,25,100,25038,248.66,
02:31:44,49.1,0.0,1.0,50.0,0.0,25,142,25040,249.01,
02:31:45,49.5,0.0,0.6,49.9,0.0,25,156,25178,249.33,
02:31:45,49.4,0.0,0.7,50.0,0.0,26,260,25222,249.29,
02:31:46,49.1,0.0,0.9,50.0,0.0,25,88,25106,249.02,
02:31:46,49.5,0.0,0.5,50.0,0.0,25,138,25124,249.54,
02:31:47,49.4,0.0,0.7,49.9,0.0,25,112,25192,248.75,
02:31:47,49.3,0.0,0.8,50.0,0.0,26,106,25124,249.15,
02:31:48,49.2,0.0,0.9,49.9,0.0,25,148,25146,249.08,
02:31:48,49.0,0.0,1.0,50.0,0.0,25,134,25164,249.26,
02:31:49,49.4,0.0,0.6,49.9,0.0,25,154,25192,249.40,
02:31:49,49.5,0.0,0.6,49.9,0.0,26,250,25340,249.18,
02:31:50,49.5,0.0,0.5,50.0,0.0,25,100,25032,249.26,
02:31:50,48.9,0.0,1.1,50.0,0.0,25,154,24940,248.90,
02:31:51,49.4,0.0,0.7,49.9,0.0,25,104,24990,249.17,
02:31:51,49.5,0.0,0.5,49.9,0.0,26,106,24918,249.28,
02:31:52,49.5,0.0,0.5,49.9,0.0,25,1248,25260,249.17,
02:31:52,49.0,0.0,1.0,49.9,0.0,25,228,25178,249.04,
02:31:53,49.5,0.0,0.5,49.9,0.0,25,146,24860,249.73,
02:31:53,49.5,0.0,0.5,50.0,0.0,26,256,25166,248.87,
02:31:54,49.3,0.0,0.8,50.0,0.0,25,106,24978,248.78,
02:31:54,49.0,0.0,1.0,50.0,0.0,25,142,24980,248.95,
02:31:55,49.5,0.0,0.6,50.0,0.0,25,98,25104,249.39,
02:31:55,49.5,0.0,0.5,49.9,0.0,26,122,24940,249.26,
02:31:56,49.2,0.0,0.9,50.0,0.0,25,106,24926,249.47,
02:31:56,49.4,0.0,0.6,50.0,0.0,25,118,24920,249.21,
02:31:57,49.4,0.0,0.7,49.9,0.0,25,162,24862,249.02,
02:31:57,48.7,0.0,1.3,50.0,0.0,26,246,25004,249.54,
02:31:58,49.5,0.0,0.6,49.9,0.0,25,160,25038,249.42,
02:31:58,49.5,0.0,0.5,50.0,0.0,25,140,24972,249.22,
02:31:59,49.1,0.0,1.0,49.9,0.0,25,98,24910,249.12,
02:31:59,49.6,0.0,0.5,49.9,0.0,26,102,24852,249.00,
02:32:00,49.0,0.0,1.0,50.0,0.0,25,112,24910,249.44,
02:32:00,49.2,0.0,0.8,50.0,0.0,25,170,24840,249.35,
02:32:01,49.5,0.0,0.5,49.9,0.0,25,154,24834,249.30,
02:32:01,49.1,0.0,1.0,50.0,0.0,26,274,25166,249.23,
02:32:02,49.6,0.0,0.7,49.7,0.0,25,1520,26354,249.23,
02:32:02,48.9,0.0,1.1,50.0,0.0,25,144,25212,249.13,
02:32:03,49.3,0.0,0.8,50.0,0.0,25,90,25110,249.29,
02:32:03,49.4,0.0,0.7,50.0,0.0,25,126,25120,249.37,
02:32:04,49.2,0.0,0.8,50.0,0.0,25,100,25144,249.29,
02:32:04,49.6,0.0,0.4,50.0,0.0,25,146,25118,249.28,
02:32:05,49.1,0.0,1.0,49.9,0.0,25,160,25160,249.11,
02:32:05,49.3,0.0,0.7,50.0,0.0,26,260,25232,249.55,
02:32:06,48.9,0.0,1.1,50.0,0.0,25,116,25170,248.99,
02:32:06,49.6,0.0,0.5,50.0,0.0,25,136,25102,249.26,
02:32:07,49.2,0.0,0.9,49.9,0.0,25,96,25176,249.43,
02:32:07,49.3,0.0,0.7,50.0,0.0,26,122,25118,249.22,
02:32:08,49.2,0.0,0.9,49.9,0.0,25,120,25136,249.26,
02:32:08,49.0,0.0,1.0,50.0,0.0,25,156,25172,249.26,
02:32:09,49.6,0.0,0.5,49.9,0.0,25,146,25158,249.27,
02:32:09,49.0,0.0,1.0,50.0,0.0,26,294,25244,249.30,
02:32:10,49.5,0.0,0.5,50.0,0.0,25,146,25200,249.24,
02:32:10,49.0,0.0,1.0,50.0,0.0,25,126,25110,249.09,
02:32:11,48.8,0.0,1.2,50.0,0.0,25,108,25172,249.61,
02:32:11,49.6,0.0,0.5,49.9,0.0,26,100,25110,249.21,
02:32:12,51.5,0.0,1.3,47.2,0.0,28,35080,29502,249.24,
02:32:12,50.0,0.0,0.8,49.2,0.0,25,6422,26632,249.20,
02:32:13,49.0,0.0,1.0,49.9,0.0,25,146,25048,249.21,
02:32:13,48.9,0.0,1.2,50.0,0.0,26,268,25224,249.39,
